App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Puffin Browser Pro,COMMUNICATION,4.0,18247,,"100,000+",Paid,$3.99,4,Communication,"July 5, 2018",7.5.3.20547,4.1 and up,4
"Moco+ - Chat, Meet People",DATING,4.2,1545,,"10,000+",Paid,$3.99,4,Dating,"June 19, 2018",2.6.139,4.1 and up,4
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,,100+,Paid,$7.99,4,Dating,"January 21, 2017",1.0.1,4.0 and up,4
"Moco+ - Chat, Meet People",DATING,4.2,1546,,"10,000+",Paid,$3.99,4,Dating,"June 19, 2018",2.6.139,4.1 and up,4
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,,"50,000+",Paid,$4.99,4,Food & Drink,"June 3, 2018",1.4.4,4.0 and up,4
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,,"100,000+",Paid,$2.99,4,Health & Fitness,"December 22, 2015",Varies with device,Varies with device,4
Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,,"100,000+",Paid,$2.99,4,Health & Fitness,"December 22, 2015",Varies with device,Varies with device,4
The Game of Life,GAME,4.4,18621,,"100,000+",Paid,$2.99,4,Board,"July 4, 2018",2.1.2,4.4 and up,4
The Escapists,GAME,4.4,7412,,"100,000+",Paid,$4.99,4,Strategy,"April 26, 2018",1.1.0,2.3 and up,4
Farming Simulator 18,GAME,4.5,18125,,"100,000+",Paid,$4.99,4,Simulation;Education,"July 9, 2018",Varies with device,4.4 and up,4
Call of Duty:Black Ops Zombies,GAME,4.2,13004,,"100,000+",Paid,$6.99,4,Action,"December 20, 2016",1.0.11,2.3.3 and up,4
Star Wars ™: DIRTY,GAME,4.5,38207,,"100,000+",Paid,$9.99,4,Role Playing,"October 19, 2015",1.0.6,4.1 and up,4
Toca Mystery House,FAMILY,4.2,96,,"5,000+",Paid,$3.99,4,Educational;Creativity,"June 14, 2018",1.0.1,4.4 and up,4
My Little Princess : Stores,FAMILY,4.3,169,,"5,000+",Paid,$2.99,4,Educational;Pretend Play,"May 25, 2018",1.08,4.1 and up,4
Sago Mini Big City,FAMILY,4.2,8,,"1,000+",Paid,$3.99,4,Education;Pretend Play,"July 9, 2018",1.1,4.4 and up,4
Toca Builders,FAMILY,4.2,3328,,"100,000+",Paid,$3.99,4,Education;Creativity,"July 13, 2017",Varies with device,Varies with device,4
LEGO® Friends,FAMILY,4.4,854,,"10,000+",Paid,$4.99,4,Casual;Pretend Play,"December 1, 2015",Varies with device,4.0.3 and up,4
My Little Work – Garage,FAMILY,4.3,560,,"10,000+",Paid,$3.99,4,Casual;Education,"June 17, 2015",2.0.1,2.3 and up,4
"Alizay, pirate girl",FAMILY,4.5,197,,"1,000+",Paid,$2.99,4,Casual;Action & Adventure,"March 23, 2017",4.0.2,2.3 and up,4
All-in-One Mahjong 3,FAMILY,4.4,38,,100+,Paid,$0.99,4,Board;Brain Games,"June 14, 2018",20180609,4.0 and up,4
