App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,,"100,000+",Paid,$4.99,5,Business,"March 25, 2018",1.5.2,4.0 and up,5
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,,"100,000+",Paid,$4.99,5,Business,"April 11, 2017",3.4.6,3.0 and up,5
TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,,"100,000+",Paid,$4.99,5,Business,"March 25, 2018",1.5.2,4.0 and up,5
Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,,"100,000+",Paid,$4.99,5,Business,"April 11, 2017",3.4.6,3.0 and up,5
Sago Mini Hat Maker,EDUCATION,4.9,11,,"1,000+",Paid,$3.99,5,Education;Pretend Play,"July 24, 2017",1.0,4.0.3 and up,5
Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,,"1,000+",Paid,$5.99,5,Education;Education,"July 21, 2017",1.3,4.1 and up,5
Toca Life: City,EDUCATION,4.7,31085,,"500,000+",Paid,$3.99,5,Education;Pretend Play,"July 6, 2018",1.5-play,4.4 and up,5
Toca Life: Hospital,EDUCATION,4.7,3528,,"100,000+",Paid,$3.99,5,Education;Pretend Play,"June 12, 2018",1.1.1-play,4.4 and up,5
My Talking Pet,ENTERTAINMENT,4.6,6238,,"100,000+",Paid,$4.99,5,Entertainment,"June 30, 2018",Varies with device,Varies with device,5
Meme Generator,ENTERTAINMENT,4.6,3771,,"100,000+",Paid,$2.99,5,Entertainment,"August 3, 2018",4.426,4.1 and up,5
My CookBook Pro (Ad Free),FOOD_AND_DRINK,4.6,2129,,"10,000+",Paid,$3.49,5,Food & Drink,"June 28, 2018",Varies with device,Varies with device,5
Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,,"10,000+",Paid,$3.99,5,Health & Fitness,"May 15, 2018",1.0.6,4.3 and up,5
Relax Melodies P: Sleep Sounds,HEALTH_AND_FITNESS,4.8,19543,,"100,000+",Paid,$2.99,5,Health & Fitness,"January 19, 2018",Varies with device,Varies with device,5
Clue,GAME,4.6,19922,,"100,000+",Paid,$1.99,5,Board,"July 30, 2018",2.2.5,5.0 and up,5
The Room: Old Sins,GAME,4.9,21119,,"100,000+",Paid,$4.99,5,Puzzle,"April 18, 2018",1.0.1,4.4 and up,5
RollerCoaster Tycoon® Classic,GAME,4.6,10795,,"100,000+",Paid,$5.99,5,Simulation,"December 21, 2017",1.2.1.1712080,4.0.3 and up,5
Monument Valley 2,GAME,4.6,9394,,"100,000+",Paid,$4.99,5,Puzzle,"November 30, 2017",1.2.9,4.4 and up,5
Toca Life: City,FAMILY,4.7,31100,,"500,000+",Paid,$3.99,5,Education;Pretend Play,"July 6, 2018",1.5-play,4.4 and up,5
Children Educational Game Full,FAMILY,4.7,30,,"1,000+",Paid,$7.49,5,Educational;Education,"May 16, 2018",Varies with device,Varies with device,5
Hactar Go,FAMILY,4.8,97,,"1,000+",Paid,$2.99,5,Board;Brain Games,"March 30, 2018",2.4.15,4.0 and up,5
World Racers family board game,FAMILY,4.8,4,,100+,Paid,$0.99,5,Board;Pretend Play,"September 3, 2015",1.1,5.1 and up,5
Lanterns: The Harvest Festival,FAMILY,4.7,185,,"1,000+",Paid,$4.99,5,Board;Brain Games,"May 1, 2018",1.16.5,4.1 and up,5
Tsuro - The Game of the Path,FAMILY,4.7,2195,,"10,000+",Paid,$2.99,5,Board;Brain Games,"August 2, 2016",1.3.3,2.3 and up,5
Avokiddo Emotions,FAMILY,4.6,73,,"1,000+",Paid,$2.99,5,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up,5
Avokiddo Emotions,FAMILY,4.6,73,,"1,000+",Paid,$2.99,5,Education;Pretend Play,"May 21, 2018",1.7.0,4.0.3 and up,5
Pedi STAT,MEDICAL,4.6,129,,"10,000+",Paid,$5.49,5,Medical,"April 6, 2018",3.0.1.0,4.1 and up,5
Journal Club: Medicine,MEDICAL,4.8,216,,"10,000+",Paid,$6.99,5,Medical,"June 17, 2017",Varies with device,Varies with device,5
Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,,"5,000+",Paid,$5.99,5,Medical,"May 31, 2018",6.5.0,5.0 and up,5
Vargo Anesthesia Mega App,MEDICAL,4.6,92,,"1,000+",Paid,$79.99,5,Medical,"June 18, 2018",19.0,4.0.3 and up,5
Diabetes & Diet Tracker,MEDICAL,4.6,395,,"1,000+",Paid,$9.99,5,Medical,"July 16, 2018",6.5.1,5.0 and up,5
Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,,100+,Paid,$2.99,5,Medical,"April 20, 2018",1.0,4.1 and up,5
FHR 5-Tier 2.0,MEDICAL,5.0,2,,500+,Paid,$2.99,5,Medical,"December 16, 2015",1.0,4.0 and up,5
"Migraine, Headache Diary HeadApp Pro",MEDICAL,4.6,156,,500+,Paid,$3.49,5,Medical,"March 14, 2018",1.10.0.user.pro.release,4.4 and up,5
OmniMedix Medical Calculator,MEDICAL,4.7,25,,"1,000+",Paid,$4.99,5,Medical,"June 11, 2016",3.1.6,3.0 and up,5
Breathing Zone,MEDICAL,4.6,319,,"5,000+",Paid,$3.99,5,Medical,"March 6, 2018",Varies with device,Varies with device,5
With Helper Pro Pill Reminder,MEDICAL,4.6,358,,"5,000+",Paid,$3.99,5,Medical,"October 25, 2017",Varies with device,Varies with device,5
EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,,"10,000+",Paid,$3.99,5,Medical,"January 8, 2017",2.1,2.1 and up,5
Hospitalist Handbook,MEDICAL,4.8,12,,"1,000+",Paid,$19.99,5,Medical,"June 5, 2017",6.0.4,4.1 and up,5
Navi Radiography Pro,MEDICAL,4.7,11,,500+,Paid,$15.99,5,Medical,"January 14, 2018",1.2.0,4.0.3 and up,5
palmPEDi: Pediatric Tape,MEDICAL,4.6,66,,"5,000+",Paid,$0.99,5,Medical,"December 2, 2013",4.1,3.2 and up,5
Vargo Anesthesia Mega App,MEDICAL,4.6,92,,"1,000+",Paid,$79.99,5,Medical,"June 18, 2018",19.0,4.0.3 and up,5
Journal Club: Medicine,MEDICAL,4.8,216,,"10,000+",Paid,$6.99,5,Medical,"June 17, 2017",Varies with device,Varies with device,5
Pedi STAT,MEDICAL,4.6,129,,"10,000+",Paid,$5.49,5,Medical,"April 6, 2018",3.0.1.0,4.1 and up,5
Diabetes & Diet Tracker,MEDICAL,4.6,395,,"1,000+",Paid,$9.99,5,Medical,"July 16, 2018",6.5.1,5.0 and up,5
Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717,,"5,000+",Paid,$5.99,5,Medical,"May 31, 2018",6.5.0,5.0 and up,5
Hospitalist Handbook,MEDICAL,4.8,12,,"1,000+",Paid,$19.99,5,Medical,"June 5, 2017",6.0.4,4.1 and up,5
Smart Launcher Pro 3,PERSONALIZATION,4.6,40704,,"100,000+",Paid,$4.49,5,Personalization,"March 16, 2018",Varies with device,Varies with device,5
aCalendar+ Calendar & Tasks,PRODUCTIVITY,4.6,26919,,"100,000+",Paid,$5.99,5,Productivity,"June 25, 2018",Varies with device,Varies with device,5
Weather Live Pro,WEATHER,4.8,17493,,"100,000+",Paid,$4.49,5,Weather,"April 20, 2018",1.3,4.4 and up,5
ADS-B Driver,TOOLS,5.0,2,,100+,Paid,$1.99,5,Tools,"May 15, 2018",1.19,4.4 and up,5
EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625,,"10,000+",Paid,$3.99,5,Medical,"January 8, 2017",2.1,2.1 and up,5
C4droid - C/C++ compiler & IDE,FAMILY,4.7,2890,,"50,000+",Paid,$2.99,5,Education,"August 26, 2017",Varies with device,Varies with device,5
Neon Glow C - Icon Pack,PERSONALIZATION,4.8,557,,"10,000+",Paid,$0.99,5,Personalization,"July 27, 2018",4.5.0,4.0.3 and up,5
Hitman Sniper,GAME,4.6,408292,,"10,000,000+",Paid,$0.99,5,Action,"July 12, 2018",1.7.110758,4.1 and up,5
Koi Live Wallpaper,PERSONALIZATION,4.6,14026,,"100,000+",Paid,$0.99,5,Personalization,"June 24, 2014",1.9,2.2 and up,5
Mind Games Pro,FAMILY,4.6,15301,,"100,000+",Paid,$2.99,5,Puzzle;Brain Games,"July 18, 2018",3.0.5,2.3 and up,5
G-Force Driving Assistant,SPORTS,4.6,10,,100+,Paid,$3.88,5,Sports,"April 10, 2013",1.0,2.3.3 and up,5
Go,PERSONALIZATION,4.6,89,,"5,000+",Paid,$0.99,5,Personalization,"October 21, 2017",1.6.1,4.0.3 and up,5
H*nest Meditation,LIFESTYLE,4.9,145,,"5,000+",Paid,$1.99,5,Lifestyle,"April 7, 2016",1.0,4.0.3 and up,5
The World Ends With You,GAME,4.6,4108,,"10,000+",Paid,$17.99,5,Arcade,"December 14, 2015",1.0.4,4.0 and up,5
Ulysse Speedometer Pro,AUTO_AND_VEHICLES,4.6,4140,,"50,000+",Paid,$1.99,5,Auto & Vehicles,"May 13, 2018",Varies with device,Varies with device,5
Cut the Rope GOLD,FAMILY,4.6,61264,,"1,000,000+",Paid,$0.99,5,Puzzle,"June 19, 2018",3.7.0,4.1 and up,5
K.MOJI,FAMILY,4.8,16,,500+,Paid,$1.99,5,Entertainment,"May 9, 2017",1.0,4.2 and up,5
Math Games for Pre-K - Grade 4,FAMILY,4.6,28,,"1,000+",Paid,$1.99,5,Education;Education,"January 13, 2014",1.02,2.2 and up,5
