App,Category,Rating,Reviews,Size,Installs,Type,Price,Rating Roundoff,Genres,Last Updated,Current Ver,Android Ver,Rating Roundoff
Just She - Top Lesbian Dating,DATING,1.9,953,,"100,000+",Free,0.0,2,Dating,"July 18, 2018",6.3.7,5.0 and up,2
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,,"500,000+",Free,0.0,2,Dating,"July 31, 2018",4.8.5,4.0.3 and up,2
Sugar Daddy Dating App,DATING,2.5,277,,"100,000+",Free,0.0,2,Dating,"December 4, 2017",3.0.0,4.1 and up,2
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,,"500,000+",Free,0.0,2,Dating,"July 31, 2018",4.8.5,4.0.3 and up,2
Just She - Top Lesbian Dating,DATING,1.9,953,,"100,000+",Free,0.0,2,Dating,"July 18, 2018",6.3.7,5.0 and up,2
Just She - Top Lesbian Dating,DATING,1.9,954,,"100,000+",Free,0.0,2,Dating,"July 18, 2018",6.3.7,5.0 and up,2
5 Minute Veterinary Consult: Canine & Feline,MEDICAL,2.3,17,,"1,000+",Free,0.0,2,Medical,"March 29, 2018",2.6,4.2 and up,2
mobileRx Pharmacy,MEDICAL,2.5,124,,"10,000+",Free,0.0,2,Medical,"January 13, 2017",3.0.2,3.0 and up,2
Air Transat CinePlus B,TRAVEL_AND_LOCAL,2.2,83,,"50,000+",Free,0.0,2,Travel & Local,"July 5, 2018",1.0.17.3905,4.4 and up,2
C by GE,LIFESTYLE,1.7,686,,"10,000+",Free,0.0,2,Lifestyle,"July 11, 2018",4.1.07,4.3 and up,2
Bridge-C - Get More Storage,TOOLS,2.0,24,,"1,000+",Free,0.0,2,Tools,"December 29, 2017",1.7,6.0 and up,2
J - Style Pro,HEALTH_AND_FITNESS,2.3,74,,"10,000+",Free,0.0,2,Health & Fitness,"January 20, 2016",1.1,4.3 and up,2
Libre Scan (Diabetes:M addon),MEDICAL,2.4,102,,"10,000+",Free,0.0,2,Medical,"July 9, 2017",1.2,4.4 and up,2
Q-See Plus,VIDEO_PLAYERS,2.2,32,,"5,000+",Free,0.0,2,Video Players & Editors,"July 9, 2018",3.1.0,4.0.3 and up,2
Q-Tech Companion App,FOOD_AND_DRINK,1.8,17,,"10,000+",Free,0.0,2,Food & Drink,"March 8, 2017",1.6.3,4.4 and up,2
DRC Sim - Wii U Gamepad,FAMILY,2.4,210,,"10,000+",Free,0.0,2,Casual,"June 25, 2017",2.0,2.3 and up,2
Wi u Emulator,FAMILY,2.4,468,,"10,000+",Free,0.0,2,Entertainment,"March 3, 2018",0.0.1,4.1 and up,2
Remote For ATT U-verse TV - NOW FREE,TOOLS,2.5,20,,"5,000+",Free,0.0,2,Tools,"July 25, 2018",6.1.5,4.2 and up,2
W Box VMS,VIDEO_PLAYERS,1.9,105,,"10,000+",Free,0.0,2,Video Players & Editors,"January 9, 2017",4.0.4,2.3.3 and up,2
W Box VMS HD,VIDEO_PLAYERS,2.5,24,,"5,000+",Free,0.0,2,Video Players & Editors,"January 4, 2017",4.0.3,3.0 and up,2
Moto Z Market,TOOLS,2.2,605,,"1,000,000+",Free,0.0,2,Tools,"December 18, 2017",02.02.0045,5.0 and up,2
Smart-AC Universal Remote Free,FAMILY,1.8,3270,,"500,000+",Free,0.0,2,Entertainment,"August 18, 2015",1.0,2.2 and up,2
AC REMOTE UNIVERSAL-PRO,FAMILY,1.6,402,,"100,000+",Free,0.0,2,Entertainment,"December 11, 2015",1.0,2.2 and up,2
Kenmore Smart AC,LIFESTYLE,1.9,71,,"5,000+",Free,0.0,2,Lifestyle,"May 8, 2017",1.0.11,4.4 and up,2
Carrier Air Conditioner,TOOLS,2.5,362,,"100,000+",Free,0.0,2,Tools,"January 15, 2018",v67_slk3.0_20180115_01,4.0 and up,2
